co,no,no2,o3,so2,pm2_5,pm10,nh3,name,latitude,longitude,timestamp
424.81,1.27,6.62,100.27,5.29,50.39,76.04,5.29,Delhi,28.6139,77.209,1760246799
408.63,0.47,3.84,110.83,19.38,83.82,121.99,0.74,Mumbai,19.076,72.8777,1760246840
327.37,0.99,5.82,66.78,2.55,12.77,16.77,3.03,Bengaluru,12.9716,77.5946,1760246711
604.39,0.26,3.4,135.59,10.56,138.51,149.36,1.55,Kolkata,22.5726,88.3639,1760246804
391.75,0.74,4.23,90.29,6.47,46.27,51.15,0.15,Chennai,13.0827,80.2707,1760246862
264.54,0.38,1.87,91.92,4.97,53.76,62.54,0.39,Hyderabad,17.385,78.4867,1760246863
359.7,0.33,2.12,82.23,3.52,75.87,96.71,3.4,Pune,18.5204,73.8567,1760246630
456.14,1.69,6.29,68.91,5.13,67.39,111.89,1.7,Ahmedabad,23.0225,72.5714,1760246864
381.73,1.96,6.94,67.15,2.68,59.71,121.55,6.57,Jaipur,26.9124,75.7873,1760246865
411.84,0.5,2.7,89.3,2.73,56.35,81.91,3.54,Lucknow,26.8467,80.9462,1760246616
